text,origins
Onderzoeksrapport Capaciteitsbepaling postennet ii ilii ii m Colofon Aanleiding opdracht Zoals opgenomen in de Visie Postennet is het voor de duideiijke en haalbare opgave aan de posten gekoppeld aan mensen en middeien wordt opgesteld Een beiangrijk onderdeei hierbij is een heider overzicht van de de prioriteiten daarvoor is sterke beperking nodig en meer strategische keuze Het nieuwe kader geeft aan wat open staat volgens Den Haag waar een post aan zou moeten werken Dit is niet reaiistisch door veei 3 3 Werkzaamheden en afbakening Het object van onderzoek was het in de pilot gehanteerde vernieuwde doorontwikkelde beleidskader voor de ii ilii ii m,0
Onderzoeksrapport Audit Rijnstraat 8 Een nader onderzoek naar verklaringen voor en effecten van de beleving van gebruikers van het rijkskantoor Rijnstraat 8 Inlichtingen Auditdienst Rijk 070342 7700 Titel Onderzoeksrapport Audit Rijnstraat 8 Uitgebracht aan De directeur Faciliteiten Inkoop en Huisvestingsbeleid van het Directoraatgeneraal Overheidsorganisatie van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties Datum 8 april 2019 Kenmerk Colofon 20190000061429 Versie Definitief 1 Over het onderzoek5 11 Aanleiding en doelstelling van dit onderzoek5 12 Onderzoeksvragen en criteria5 13 Onderzoeksaanpak6 14 Leeswijzer6 3 De kantooromgeving van R811 31 Beantwoording onderzoeksvraag11 32 De Basis Werkplekmix is volgens gebruikers niet toepasbaar op alle werkprocessen binnen hun onvoldoende privacy en concentratiemogelijkheden12 331 Concentratiemogelijkheden en preferente werkplekken12 332 Efficiënt werken12 333 Vertrouwelijkheid en privacy13 341 Samenwerking tussen de organisaties13 342 Samenwerking tussen organisatieonderdelen13 343 Collegiale samenwerking en teamwork13 35 De kantooromgeving wordt door gebruikers als weinig inspirerend ervaren en gebruikers missen een eigen identiteit,1
Voor BZ voldoet R8 niet geheel aan de standaard ten aanzien van representativiteit14 4 De dienstverlening op R816 41 Beantwoording onderzoeksvraag16 42 Klachten en meldingen ten aanzien van de dienstverlening verminderen maar de beleving van gebruikers is nog overwegend negatief16 421 Klachten en meldingen over dienstverlening16 422 Afhandeling verzoeken tot wijziging18 5 Organisatiecultuur21 51 Beantwoording onderzoeksvraag21 52 Organisatie en cultuurkenmerken blijken van invloed te zijn op de beleving21 Inhoud 2 Managementsamenvatting en aanbevelingen7 21 Beantwoording centrale onderzoeksvraag7 211 Verklarende factoren7 212 Effecten8 22 Aanbevelingen8 Deel 1 Verklarende factoren10 organisatie11 33 De kantooromgeving wordt door gebruikers als inefficiënt ervaren en biedt volgens hen 34 De kantooromgeving bevordert volgens gebruikers de samenwerking tussen organisatieonderdelen maar niet de collegiale samenwerking13 351 Inspirerende kantooromgeving14 352 Representativiteit14 36 De goede OVbereikbaarheid wordt door gebruikers gewaardeerd maar dit geldt niet voor parkeerfaciliteiten en fietsenstalling14 361 Bereikbaarheid14 362 Fietsenstalling15 37 Verklarende factoren met betrekking tot de kantooromgeving15 43 Naar de vraag of de gekozen contractvorm DBFMO van invloed is geweest op de beleving van de dienstverlening is nader onderzoek nodig18 431 Dienstverlening in een DBFMOconstructie19 432 De kwaliteit van de dienstverlening op R819 44 Verklarende factoren met betrekking tot de dienstverlening20 6 Voorbereiding op de nieuwe kantooromgeving23 61 Beantwoording onderzoeksvraag23 62 Gebruikers geven aan niet direct betrokken te zijn geweest bij de keuze van inrichting van de gedragsverandering van gebruikers24 631 Voorbereidingsprogrammas24 632 Voormalige kantoorlocaties24 633 Behaviour na de verhuizing25 7 Ziekteverzuim28 71 Beantwoording onderzoeksvraag28 72 Ziekteverzuim per organisatie28 721 Buitenlandse Zaken29 722 Infrastructuur en Waterstaat29 723 Kleine Keten IND DTampV en COA29 8 Personeelsverloop32 81 Beantwoording onderzoeksvraag32 82 Personeelsverloop per organisatie32 821 Buitenlandse Zaken33 822 Infrastructuur en Waterstaat33 823 Kleine Keten IND DTampV en COA34 9 Werkgerelateerde meldingen en incidenten36 91 Beantwoording onderzoeksvraag36 92 De verhuizing naar R8 heeft geen aantoonbaar effect gehad op het aantal 10 Verantwoording onderzoek40 101 Afbakening40 102 Uitgevoerde werkzaamheden40 103 Gehanteerde Standaard41 104 Verspreiding rapport41 53 Volgens gebruikers is er slechts in beperkte mate sprake van actieve sturing door het management op het activiteit gerelateerd werken22 54 Verklarende factoren met betrekking tot de organisatiecultuur22 nieuwe kantooromgeving23 63 De decentrale voorbereidingsprogrammas hebben onvoldoende bijgedragen aan de 64 Gebruikers zijn voorafgaand aan de verhuizing in voldoende mate geïnformeerd over de nieuwe kantooromgeving26 65 Verklarende factoren met betrekking tot de voorbereiding26 Deel 2 Effecten27 73 Ziekteverzuim nader belicht30 83 Personeelsverloop nader belicht35 integriteitmeldingen36 93 Het aantal sociaalmedische klachten is niet kwantitatief vast te stellen maar de aard van de klachten blijkt wel te zijn veranderd37 94 Een eventueel effect van de kantoorhuisvesting op het aantal beveiligingsincidenten is niet vast te stellen38 Deel 3 Verantwoording en ondertekening39 11 Ondertekening42 Bijlage 1 Achtergronden Fysieke Werkomgeving Rijk FWR FWRmix basisactiviteitenprofiel en flexfactor43 Bijlage 2 Gehanteerde bronnen en documentatie47 11 Aanleiding en doelstelling van dit onderzoek Voor u ligt de eindrapportage van de audit Rijnstraat 8 R8,1
Een onderzoek naar mogelijke verklaringen en effecten van de beleving van de gebruikers van het rijkskantoor R8,1
De gebruikers van R8 zijn werkzaam bij het ministerie van Buitenlandse Zaken BZ het ministerie van Infrastructuur en Waterstaat IenW en de zogenaamde Kleine Keten KK1 bestaande uit de Immigratie en Naturalisatiedienst IND de Dienst Terugkeer en Vertrek DTampV en het Centraal Orgaan opvang Asielzoekers COA,1
Deze beleving is kort na de verhuizing in 2017 onderzocht door het Center for People and Buildings CfPB een onderzoek waarvan de rapportage in maart 20182 is uitgebracht,1
De vier belangrijkste conclusies uit dit onderzoek hadden betrekking op de drukte in het pand de beschikbaarheid van plekken de functionaliteit en inrichting van de werkomgeving de bruikbaarheid van plekken de sfeer in en opgeroepen door het pand de beleving van het pand en de plekken en de facilitaire diensten en dienstverlening beleving van de ondersteuning,1
De uitkomsten van dit onderzoek waren voor de opdrachtgever van deze audit de directeur Faciliteiten Inkoop en Huisvestingsbeleid van het Directoraatgeneraal Overheidsorganisatie DGOO van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties BZK aanleiding om een nader onderzoek te laten uitvoeren door de Auditdienst Rijk ADR,1
Het doel van dit onderzoek was om nader inzicht te verkrijgen in enerzijds de mogelijk verklarende factoren van de beleving en anderzijds in de eventuele effecten op het terrein van personeelszaken ziekteverzuim personeelsverloop sociaalmedische klachten ed,1
Dit inzicht is voor de opdrachtgever en bewoners belangrijk om leerervaringen op te doen die niet alleen voor het gebruik van bestaande kantoren kunnen worden gebruikt maar ook voor toekomstige nieuwbouw of grootschalige renovatieprojecten van rijkskantoren 12 Onderzoeksvragen en criteria Verklarende factoren Voor de mogelijk verklarende factoren zijn de volgende vragen onderzocht 1,1
Is de huidige kantooromgeving afgestemd op de werkprocessen werkzaamheden organisaties 3,1
Is de organisatiecultuur van de organisaties afgestemd op het flexibel werken 4,1
